,rdfType,label,brand,model,serialNumber,inServiceDate,dateOfPurchase,dateOfLastCalibration,personInCharge,URI
10,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a10_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,409,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,test/instal mntpel/2020/data/ee340dc4674b1ef1ac4cb3082dec450eceb481f0b7552d9fcc9e88ee
11,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a11_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,410,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,test/instal mntpel/2020/data/6d96e054b7c6987b3a32da306f3e125e22be0499e90208fe502fed27
12,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a12_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,411,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,test/instal mntpel/2020/data/89814c212475c5e66abb8c197dc942fc8bea1f7f11d2b5c132e6d3d3
13,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a13_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,412,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,test/instal mntpel/2020/data/59e576cda8f2e9cd7f5882dba8804d1cfd12f37171a1c3b771591388
14,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a14_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,413,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,test/instal mntpel/2020/data/3845739dd99f376f38a34a80aecf15e82648e924f6d7c00ef2710c8d
15,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a15_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,414,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,test/instal mntpel/2020/data/92816f558803c32f70e4fd517c464cb60a8e1a3f964223776bb56e37
16,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a16_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,415,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,test/instal mntpel/2020/data/136a22ace561ce27e142cf35d562824fa00030fee98bdfb4e4a8fb74
17,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a17_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,416,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,test/instal mntpel/2020/data/9617991d542cce649e60139ea24ed88f5b2eeb1a6fd9931f13c99608
18,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a18_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,417,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,test/instal mntpel/2020/data/ba4ea5f21fd37c25b0561c37a320790de05d2ae98ddf51a71ffd6c52
19,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a19_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,418,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,test/instal mntpel/2020/data/cc0d0178498aa67b30d4561f3f2650b509134499f2aa42eab7543e46
20,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a20_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,419,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,test/instal mntpel/2020/data/7625b329efb6c1e5e85516191fa21643d6ed3db17ff78974d7092699
21,http://www.opensilex.org/vocabulary/oeso#SensingDevice,a21_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,420,2012-03-01,2012-03-01,2016-11-18,guest@opensilex.org,test/instal mntpel/2020/data/591ebf0f5fe19eeef99e3379f2396f9472f0331d0063544658644cb6
22,http://www.opensilex.org/vocabulary/oeso#SensingDevice,aa01_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,607,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/ecd2a3fc0c3a597b762a6200ccf933e8d81760c6e7cec4e7465eb1df
23,http://www.opensilex.org/vocabulary/oeso#SensingDevice,aa02_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,608,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/af90d9eb78a0d30d73ae925161b026eb046e567a5162c5e625bbc81e
24,http://www.opensilex.org/vocabulary/oeso#SensingDevice,aa03_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,609,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/f547849568bd7af85353059983341e2a1516d12134d6904fe579f4fb
25,http://www.opensilex.org/vocabulary/oeso#SensingDevice,aa04_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,610,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/175aa6bf29ba070eb44651d122682daac06b461cb10e9352f40314ec
26,http://www.opensilex.org/vocabulary/oeso#SensingDevice,aa05_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,611,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/5552fb87ddaa73a1d05bfce11a2341ee886fd30081bd9b39d993e775
27,http://www.opensilex.org/vocabulary/oeso#SensingDevice,aa06_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,612,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/53ae978d9119625091df4a73954b7776fee28fc16db7e1e7a39ebd06
28,http://www.opensilex.org/vocabulary/oeso#SensingDevice,aa07_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,613,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/e261fbc48aea6995ac561484c960efa7fd4ea7853ef59bcae8f8454b
29,http://www.opensilex.org/vocabulary/oeso#SensingDevice,aa08_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,614,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/51adbda7965e6d481a5f1bdcfa18ddb498a0db3a1c51485062551b73
30,http://www.opensilex.org/vocabulary/oeso#SensingDevice,aa09_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,615,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/cc371a88cd8b3ea014f186d2c6b9ad458bca89e879b020ff7969c16b
31,http://www.opensilex.org/vocabulary/oeso#SensingDevice,aa10_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,616,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/2524770226278e2a645e730aae438780800ff44a9ac9c8d860145f55
32,http://www.opensilex.org/vocabulary/oeso#SensingDevice,aa11_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,617,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/825d6459469b77ce95ccc8edcff85702c32ed680ce65a59253e670fb
33,http://www.opensilex.org/vocabulary/oeso#SensingDevice,aa12_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,618,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/34ca057fdf1a79c5f887e4ab98b1810d903285afd361e6e7d5b4f3fb
34,http://www.opensilex.org/vocabulary/oeso#SensingDevice,aa13_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,619,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/bde1b9048e1901c53b68faaa12c74b54178d1fb4a7e698f3243b3a92
35,http://www.opensilex.org/vocabulary/oeso#SensingDevice,aa14_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,620,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/e76911c1d330f629b8ee3aa15e2f4c41a2ea4429325a58d3a1d1d45e
36,http://www.opensilex.org/vocabulary/oeso#SensingDevice,aa15_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,621,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/a1f79b89ed387f16f0e17b7c97fc73e4b6b56591d24517d0220e2715
37,http://www.opensilex.org/vocabulary/oeso#SensingDevice,aa16_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,622,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/ece3b051145a27a91cf93e5f60db056c88834b522c1cdb116fc9a0d2
38,http://www.opensilex.org/vocabulary/oeso#SensingDevice,aa17_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,623,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/89e256cb03208b9f5368a7fc8cbf195975643fb29af59434b4347aea
39,http://www.opensilex.org/vocabulary/oeso#SensingDevice,aa18_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,624,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/2649ee5e5ca4944a644868823467ccaee78c229e10d5031d8a8c2976
40,http://www.opensilex.org/vocabulary/oeso#SensingDevice,aa19_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,625,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/0b5440d96d153800aa9ec7462ad7ff94d4f95ca0328c2756b1b62bcb
41,http://www.opensilex.org/vocabulary/oeso#SensingDevice,aa20_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,626,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/c7093e29039af711d992489bc5f69d8b2a981d43413a1f01ed86fec2
42,http://www.opensilex.org/vocabulary/oeso#SensingDevice,aa21_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,627,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/7d7526affb4debda087240e662f2eb4dd334f1a7b13e365369ffb7f0
43,http://www.opensilex.org/vocabulary/oeso#SensingDevice,ab01_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,628,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/833600d5a749156da928be6f05bf0244a88955df0b4ddfc0f8aaf7cf
44,http://www.opensilex.org/vocabulary/oeso#SensingDevice,ab02_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,629,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/16d5ee0df51ad79a317b7474cc5f270e7940c14d1cc262aa85435420
45,http://www.opensilex.org/vocabulary/oeso#SensingDevice,ab03_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,630,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/248c4ddc3049d16cb6c7652545c641f827a4910503f6941a4502eba8
46,http://www.opensilex.org/vocabulary/oeso#SensingDevice,ab04_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,631,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/e755fcf2d170efb7da97aa2c1b37cbc39531044acc0593b51d84c3b8
47,http://www.opensilex.org/vocabulary/oeso#SensingDevice,ab05_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,632,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/9ef3d5951be7c379aea94295c8251b1536b2e498b748d9d94b8cccd0
48,http://www.opensilex.org/vocabulary/oeso#SensingDevice,ab06_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,633,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/3b689a07a25626305f1f7c29087107c653f2dc228e01c73d2c254772
49,http://www.opensilex.org/vocabulary/oeso#SensingDevice,ab07_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,634,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/4c73b193f4ec60050c3e91b469bd8dd7bc6bfb2dec8066a4bcac559f
50,http://www.opensilex.org/vocabulary/oeso#SensingDevice,ab08_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,635,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/5565bc4211d2c9ef034506a22bd66049903728ade0da9d4efea76c63
51,http://www.opensilex.org/vocabulary/oeso#SensingDevice,ab09_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,636,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/cf061fb81d89a8e0909650214c8d8ecbae0902085386175f71def953
52,http://www.opensilex.org/vocabulary/oeso#SensingDevice,ab10_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,637,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/3c8b2645daafce60082b6434f3b3ab0e212b28863230eb1fb5f0fb4b
53,http://www.opensilex.org/vocabulary/oeso#SensingDevice,ab11_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,638,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/4ccefa512d174a66cb6f50079c80d9e837c74901f5412c8b369f3f1c
54,http://www.opensilex.org/vocabulary/oeso#SensingDevice,ab12_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,639,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/5b5938da2f2c9d870dea2d15e2b8cf24ae5a52b68c1413ace1303a5b
55,http://www.opensilex.org/vocabulary/oeso#SensingDevice,ab13_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,640,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/ee66523c125e2f52c9d9df07787b1680ca1d440bc18051add31c371e
56,http://www.opensilex.org/vocabulary/oeso#SensingDevice,ab14_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,641,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/a43a0fe3b6cdeecd063e557f66e66a3e9abf8c38d78de53d069b881d
57,http://www.opensilex.org/vocabulary/oeso#SensingDevice,ab15_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,642,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/37d35522d4256117d537f77b1f7b8b726c133af4870d607cc91be145
58,http://www.opensilex.org/vocabulary/oeso#SensingDevice,ab16_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,643,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/74a87991bc4185230679ac30b09ab074a6380bedbe72bf0d981daaf8
59,http://www.opensilex.org/vocabulary/oeso#SensingDevice,ab17_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,644,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/98d827446d37a5bc63a00f0feeb337a53d1bc2c8d89e3695c29ea488
60,http://www.opensilex.org/vocabulary/oeso#SensingDevice,ab18_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,645,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/1ff5b664fb200f664e08bdf17b68ee4c028224ad1324edcbbda88193
61,http://www.opensilex.org/vocabulary/oeso#SensingDevice,ab19_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,646,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/febd91b475fb3b569508768c1087a2b7125a84049be8713f33bad3d4
62,http://www.opensilex.org/vocabulary/oeso#SensingDevice,ab20_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,647,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/2852af50ef068da47cebfc1507998bd15691cb4bd101f5eee14de129
63,http://www.opensilex.org/vocabulary/oeso#SensingDevice,ab21_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,648,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/49458eb7ec5b5a9952eb8eb6e5f4134eae1e07caa2dd2c58db8eed05
64,http://www.opensilex.org/vocabulary/oeso#SensingDevice,b01_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,253,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/b57058b1ef36b44b63f5ecdca41e6079ac7e49d600fb670278209374
65,http://www.opensilex.org/vocabulary/oeso#SensingDevice,b02_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,254,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/6724e7234517b334175aa1b265b2fee72bd6da5b7de1cc80e170acbd
66,http://www.opensilex.org/vocabulary/oeso#SensingDevice,b03_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,255,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/790952d907401ec9df691ea0f5068fe28e8eae92b85d051a3d061f42
67,http://www.opensilex.org/vocabulary/oeso#SensingDevice,b04_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,256,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/29782309a56f948f9544d8205f3ec1538836560d3bb7d6f3244f4033
68,http://www.opensilex.org/vocabulary/oeso#SensingDevice,b05_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,257,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/e6a0292abefbf928fb59f26084fa5d131fe61c6086b6972f5d1e7414
69,http://www.opensilex.org/vocabulary/oeso#SensingDevice,b06_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,258,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/49440b851fc897ab896ed0ee216b216a7f8d5d28eb6b7d8e252bb0df
70,http://www.opensilex.org/vocabulary/oeso#SensingDevice,b07_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,259,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/b4c5a562fdfbf6bac30449f1e731dbb88a89dd79b40a228237b41999
71,http://www.opensilex.org/vocabulary/oeso#SensingDevice,b08_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,260,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/7a30a63257a092fd84d503dd37360c0b62580dcb0a2e7ced6bd008b4
72,http://www.opensilex.org/vocabulary/oeso#SensingDevice,b09_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,261,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/453330ea12b09b0267fc8870594b07c80ce907722aff80bac8c0fb10
73,http://www.opensilex.org/vocabulary/oeso#SensingDevice,b10_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,262,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/6433d7b93a160a167dc7dc6552415dc9bbfe78441f6d64e934dbde09
74,http://www.opensilex.org/vocabulary/oeso#SensingDevice,b11_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,263,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/49052027c8103dbd062e09c4857c97f3893f5035dcd99d7ac52f7249
75,http://www.opensilex.org/vocabulary/oeso#SensingDevice,b12_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,264,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/51b429788d9f90bf032d09616bf7250f8273a8428f91c6b0f4af5890
76,http://www.opensilex.org/vocabulary/oeso#SensingDevice,b13_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,265,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/f7c33020b96060f4c3c2491e4324ff6f02c42aa771cde847a7c5018f
77,http://www.opensilex.org/vocabulary/oeso#SensingDevice,b14_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,266,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/6d9b3c52677e04b200d1669d26dc7365403950ec3b912a0918efcb55
78,http://www.opensilex.org/vocabulary/oeso#SensingDevice,b15_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,267,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/09758a4baba1809e7e0a8844ba4016a57343483dd9647effa8d29d8a
79,http://www.opensilex.org/vocabulary/oeso#SensingDevice,b16_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,268,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/aa53a31dc58b4724d27ded4f6a0186cf49aee3f80f4c6bfc62f41f69
80,http://www.opensilex.org/vocabulary/oeso#SensingDevice,b17_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,269,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/bca3b65aea0712831adb01a1c199bdb2368a97e3dc8138f4d8b5a01b
81,http://www.opensilex.org/vocabulary/oeso#SensingDevice,b18_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,270,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/446938e764c5b209f9abc6e291432620aedc017d8bd5610f8ae6e23d
82,http://www.opensilex.org/vocabulary/oeso#SensingDevice,b19_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,271,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/18faf89dbd044e1690ad125445dbe8ca8ee5421c3cce43d04d6a57c0
83,http://www.opensilex.org/vocabulary/oeso#SensingDevice,b20_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,272,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/40d9d5b1087500135a123db84d4fd404cea7c0977d4cbef26fc9592f
84,http://www.opensilex.org/vocabulary/oeso#SensingDevice,b21_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,273,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/24acb9c4a397dc750f28bd19f48d4c66f339618402f0a144c87b5fdc
85,http://www.opensilex.org/vocabulary/oeso#SensingDevice,c01_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,85,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/08a91c060a1a54c7de7f50f2851ef1a029cbed224365fe880af3c075
86,http://www.opensilex.org/vocabulary/oeso#SensingDevice,c02_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,86,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/6954be40395a2883153237d8de30707797eff7c4160e8cad3a0d0c52
87,http://www.opensilex.org/vocabulary/oeso#SensingDevice,c03_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,87,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/4e1cbfdec3b9dc5f9fe40953cd2f83852dd963a1399dbdb6a8d4d91c
88,http://www.opensilex.org/vocabulary/oeso#SensingDevice,c04_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,88,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/e7c262734334dfde2eb2abd45154fa73cf9208736734362c5169c3d4
89,http://www.opensilex.org/vocabulary/oeso#SensingDevice,c05_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,89,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/5a4c07923af579552d40c962ced4a2cc45c094ed4b603f33421ce90c
90,http://www.opensilex.org/vocabulary/oeso#SensingDevice,c06_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,90,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/ca8cd381ea5438ff0b1fafef354c3c57461034653294e0060b7d2379
91,http://www.opensilex.org/vocabulary/oeso#SensingDevice,c07_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,91,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/8c5106cbd716186dfa8fb5c3bae2e9d29c458bb0c2af13de3c074f6f
92,http://www.opensilex.org/vocabulary/oeso#SensingDevice,c08_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,92,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/dd8461126efff0230017826fc30176fb854dad7d6acd86b8c515f5c3
93,http://www.opensilex.org/vocabulary/oeso#SensingDevice,c09_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,93,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/d559fd49c1add1c286debdd165803c766c250242f61d0c9c4d6a12c4
94,http://www.opensilex.org/vocabulary/oeso#SensingDevice,c10_s1,ECOMAL France S.A.S.,VISHAY SPECTROL_631HE,94,2012-03-01,2012-03-01,,guest@opensilex.org,test/instal mntpel/2020/data/b0c2cf24df1de32beea9c43ee276912aefde05a4f3ec5853e6ac7b7c
